"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年05月13日","9,315.0","8,822.5","9,414.0","8,803.5","-","5.58%"
"2020年05月12日","8,822.5","8,565.5","8,979.0","8,529.0","-","3.00%"
"2020年05月11日","8,565.5","8,727.5","9,161.5","8,160.5","-","-1.87%"
"2020年05月10日","8,728.5","9,537.5","9,570.0","8,103.5","-","-8.48%"
"2020年05月09日","9,537.5","9,806.5","9,913.0","9,511.0","-","-2.75%"
"2020年05月08日","9,807.0","10,010.0","10,050.0","9,728.5","-","-2.02%"
"2020年05月07日","10,009.5","9,153.5","10,084.5","9,015.0","-","9.33%"
"2020年05月06日","9,155.0","9,025.0","9,421.5","8,920.0","-","1.43%"
"2020年05月05日","9,025.5","8,886.5","9,122.0","8,765.0","-","1.58%"
"2020年05月04日","8,885.0","8,907.0","8,970.0","8,527.5","-","-0.25%"
"2020年05月03日","8,907.5","8,980.5","9,200.0","8,724.5","-","-0.81%"
"2020年05月02日","8,980.0","8,830.0","9,020.0","8,755.5","-","1.68%"
"2020年05月01日","8,832.0","8,627.5","9,064.5","8,622.5","-","2.31%"
"2020年04月30日","8,633.0","8,793.5","9,481.0","8,407.5","-","-1.83%"
"2020年04月29日","8,794.0","7,751.5","8,974.0","7,710.5","-","13.41%"
"2020年04月28日","7,754.5","7,789.5","7,795.5","7,654.0","-","-0.43%"
"2020年04月27日","7,788.0","7,703.0","7,833.0","7,629.5","-","1.11%"
"2020年04月26日","7,702.5","7,540.0","7,719.5","7,451.0","-","2.13%"
"2020年04月25日","7,542.0","7,503.5","7,745.0","7,432.0","-","0.51%"
"2020年04月24日","7,503.5","7,492.0","7,610.0","7,380.5","-","0.15%"
"2020年04月23日","7,492.5","7,134.0","7,800.0","7,030.0","-","5.03%"
"2020年04月22日","7,133.5","6,848.5","7,183.0","6,822.5","-","4.15%"
"2020年04月21日","6,849.0","6,833.0","6,955.5","6,765.0","-","0.20%"
"2020年04月20日","6,835.0","7,125.0","7,234.0","6,753.5","-","-4.08%"
"2020年04月19日","7,125.5","7,256.5","7,274.0","7,055.5","-","-1.80%"
"2020年04月18日","7,256.0","7,025.0","7,305.0","7,010.5","-","3.29%"
"2020年04月17日","7,025.0","7,106.5","7,156.5","6,991.0","-","-1.14%"
"2020年04月16日","7,106.0","6,614.5","7,243.0","6,463.5","-","7.41%"
"2020年04月15日","6,615.5","6,865.5","6,940.0","6,601.5","-","-3.68%"
"2020年04月14日","6,868.0","6,853.5","6,985.5","6,766.0","-","0.22%"
"2020年04月13日","6,853.0","6,905.5","6,926.0","6,540.5","-","-0.77%"
"2020年04月12日","6,906.0","6,884.5","7,197.0","6,780.5","-","0.31%"
"2020年04月11日","6,885.0","6,869.0","6,950.0","6,766.0","-","0.24%"
"2020年04月10日","6,868.5","7,287.0","7,298.5","6,754.0","-","-5.78%"
"2020年04月09日","7,289.5","7,362.5","7,373.0","7,089.0","-","-1.00%"
"2020年04月08日","7,363.0","7,193.0","7,430.0","7,152.0","-","2.36%"
"2020年04月07日","7,193.5","7,338.0","7,475.5","7,076.0","-","-1.96%"
"2020年04月06日","7,337.0","6,775.5","7,391.5","6,766.0","-","8.30%"
"2020年04月05日","6,775.0","6,875.5","6,917.0","6,662.5","-","-1.45%"
"2020年04月04日","6,875.0","6,738.0","7,097.0","6,649.0","-","2.04%"
"2020年04月03日","6,737.5","6,796.0","7,049.5","6,600.0","-","-0.85%"
"2020年04月02日","6,795.5","6,674.5","7,290.0","6,576.5","-","1.86%"
"2020年04月01日","6,671.5","6,425.0","6,721.0","6,143.0","-","3.83%"
"2020年03月31日","6,425.5","6,408.0","6,524.5","6,330.5","-","0.29%"
