2018年09月26日,6452,6429,6540,6377,-,0.37%
2018年09月27日,6685.5,6452.5,6749,6435,-,3.62%
2018年09月28日,6620,6686,6789,6521.5,-,-0.98%
2018年09月29日,6581.5,6620.5,6620.5,6440,-,-0.58%
2018年09月30日,6598.5,6582,6641.5,6515,-,0.26%
2018年10月01日,6571,6599,6636,6466.5,-,-0.42%
2018年10月02日,6502.5,6571.5,6590,6444.5,-,-1.04%
2018年10月03日,6465,6503,6509.5,6394.5,-,-0.58%
2018年10月04日,6553,6464.5,6620,6459,-,1.36%
2018年10月05日,6582,6553,6656.5,6522,-,0.44%
2018年10月06日,6552,6582.5,6592.5,6531.5,-,-0.46%
2018年10月07日,6571,6551.5,6599,6490,-,0.29%
2018年10月08日,6607.5,6570.5,6668,6550.5,-,0.56%
2018年10月09日,6591,6608,6614.5,6563,-,-0.25%
2018年10月10日,6530,6591.5,6591.5,6453,-,-0.93%
2018年10月11日,6154,6530.5,6530.5,6005,-,-5.76%
2018年10月12日,6182.5,6154.5,6233.5,6100,-,0.46%
2018年10月13日,6193.5,6180.5,6212.5,6166,-,0.18%
2018年10月14日,6181.5,6193,6300,6142,-,-0.19%
2018年10月15日,6436.5,6181,6818,6147,-,4.13%
2018年10月16日,6455.5,6436,6497,6384,-,0.30%
2018年10月17日,6438.5,6456,6458,6409,-,-0.26%
2018年10月18日,6394.5,6438,6487.5,6350,-,-0.68%
2018年10月19日,6384.5,6394,6405,6366,-,-0.16%
2018年10月20日,6407.5,6384,6425,6367,-,0.36%
2018年10月21日,6413,6408,6465,6405.5,-,0.09%
2018年10月22日,6412.5,6413.5,6426,6370,-,-0.01%
2018年10月23日,6395,6412,6415.5,6360,-,-0.27%
2018年10月24日,6412.5,6394.5,6490,6394.5,-,0.27%
2018年10月25日,6393.5,6412,6419,6368.5,-,-0.30%
2018年10月26日,6406.5,6393,6468,6386.5,-,0.20%
2018年10月27日,6407,6406,6419,6395.5,-,0.01%
2018年10月28日,6408,6406.5,6449,6382.5,-,0.02%
2018年10月29日,6266.5,6408.5,6415.5,6210,-,-2.21%
2018年10月30日,6272,6266,6293.5,6255,-,0.09%
2018年10月31日,6307,6271.5,6345,6210,-,0.56%
2018年11月01日,6337,6307.5,6370,6302,-,0.48%
2018年11月02日,6346,6336.5,6386.5,6328,-,0.14%
2018年11月03日,6332.5,6345.5,6348.5,6316.5,-,-0.21%
2018年11月04日,6427.5,6333,6470,6322.5,-,1.50%
2018年11月05日,6404,6427,6445.5,6380,-,-0.37%
2018年11月06日,6450.5,6404.5,6460,6387,-,0.73%
2018年11月07日,6510.5,6450,6567,6434.5,-,0.93%
2018年11月08日,6414,6510,6524,6373,-,-1.48%
2018年11月09日,6338.5,6413.5,6420.5,6310,-,-1.18%
2018年11月10日,6353,6338,6379,6334.5,-,0.23%
2018年11月11日,6360.5,6353.5,6379,6260,-,0.12%
2018年11月12日,6338,6361,6404,6306,-,-0.35%
2018年11月13日,6249,6337.5,6338,6235,-,-1.40%
2018年11月14日,5599.5,6249.5,6295.5,5233,-,-10.39%
2018年11月15日,5581,5586,5639,5185.5,-,-0.33%
2018年11月16日,5511,5581,5619,5406,-,-1.25%
2018年11月17日,5501.5,5510.5,5557,5450.5,-,-0.17%
2018年11月18日,5556,5502,5674.5,5501.5,-,0.99%
2018年11月19日,4735.5,5556.5,5557,4665,-,-14.77%
2018年11月20日,4349.5,4738.5,4890,4028.5,-,-8.15%
2018年11月21日,4534.5,4348.5,4650,4229,-,4.25%
2018年11月22日,4266.5,4536,4589,4235.5,-,-5.91%
2018年11月23日,4283,4266.5,4367.5,4068,-,0.39%
2018年11月24日,3769,4283.5,4376,3627,-,-12.00%
2018年11月25日,3931,3768.5,4115.5,3439,-,4.30%
2018年11月26日,3724.5,3931,4075.5,3503.5,-,-5.25%
2018年11月27日,3769,3724,3830,3564,-,1.19%
2018年11月28日,4219,3773,4355,3772.5,-,11.94%
2018年11月29日,4242,4219,4420,4085,-,0.55%
2018年11月30日,3972.5,4244,4299,3861,-,-6.35%
2018年12月01日,4136,3972,4266,3903.5,-,4.12%
2018年12月02日,4098,4136.5,4270,4025,-,-0.92%
2018年12月03日,3829.5,4094.5,4118.5,3730,-,-6.55%
2018年12月04日,3902.5,3829,4042,3735.5,-,1.91%
2018年12月05日,3694.5,3902,3917,3655.5,-,-5.33%
2018年12月06日,3430,3695.5,3843,3400,-,-7.16%
2018年12月07日,3369.5,3430.5,3540,3201,-,-1.76%
2018年12月08日,3397.5,3369,3497.5,3246,-,0.83%
2018年12月09日,3526.5,3397,3630,3372,-,3.80%
2018年12月10日,3406,3526.5,3596,3350,-,-3.42%
2018年12月11日,3345,3405.5,3422,3282,-,-1.79%
2018年12月12日,3431.5,3340,3492,3334,-,2.59%
